id,link,pub_date,title,content,created_at
24,https://report.az/hadise/mingecevirde-51-yasli-kisi-aldigi-xesaretden-olub,2025-01-01 18:14:00.000,Mingəçevirdə 52 yaşlı kişi aldığı xəsarətdən ölüb,"Mingəçevir şəhərində bədbəxt hadisə nəticəsində xəsarət alan şəxs müalicə aldığı xəstəxanada keçinib.

“Report”un Qərb bürosunun məlumatına görə, 1973-cü il təvəllüdlü İ.Baxışov ağır xəsarətdən müalicə aldığı xəstəxanada vəfat edib.

Yaxınlarının bildirdiyinə görə, mərhum usta kimi çalışdığı məkanda hündürlükdən yıxılaraq ağır xəsarət alıb.

Faktla bağlı araşdırma aparılır.",2025-12-06 12:16:08.796 +0300
23,https://report.az/diger-olkeler/misir-ai-den-1-milyard-avro-mebleginde-ilk-transi-alib,2025-01-01 18:41:00.000,Misir Aİ-dən 1 milyard avro məbləğində ilk tranşı alıb,"Avropa İttifaqının (Aİ) iqtisadi yardımının ilk tranşı 27 dekabr 2024-cü ildə Misir Mərkəzi Bankının hesabına daxil olub.

“Report”“Sada el-Balad” telekanalına istinadən xəbər verir ki, bu barədə Qahirədə keçirilmiş mətbuat konfransında respublikanın Baş naziri Mustafa Madbuli məlumat verib.

“Aİ Misir iqtisadiyyatının dəstəklənməsi proqramı çərçivəsində Misirə 1 milyard avro məbləğində ilk tranşı göndərib. Vəsait keçən cümə günü Mərkəzi Bankın hesabına daxil olub”, – Madbuli bildirib.

Hökumət başçısının fikrincə, 2024-cü ildə ölkənin ÜDM-nin 3,5% artması “hakimiyyətin düzgün istiqamətdə irəlilədiyinin əlaməti” kimi qiymətləndirilməlidir. Madbuliyə görə, Beynəlxalq Valyuta Fondunun ötən il dekabrın 25-də Misirə 1,2 milyard dollar məbləğində kredit ayırması da Qahirəyə iqtisadi məsələlərdə etimadın göstəricisidir.

Baş nazirin sözlərinə görə, hökumət 2025-ci il üçün dövlətin bütün maliyyə öhdəliklərinin yerinə yetirilməsini və əsas məhsulların qiymətlərinin “Ramazan ayının başlanmasına qədər (28 fevral axşamı başlayacaq – red.)” sabitləşdirilməsini təmin etmək məqsədi daşıyan “dəqiq plan” hazırlayıb.",2025-12-06 12:16:08.796 +0300
22,https://report.az/energetika/turkiye-sirketleri-2025-ci-ilde-suriyanin-elektrik-techizati-ile-mesgul-olacaq,2025-01-01 19:17:00.000,Türkiyə şirkətləri 2025-ci ildə Suriyanın elektrik təchizatı ilə məşğul olacaq,"Türkiyənin elektrik enerjisi şirkətləri 2025-ci il ərzində Suriyanın elektrik təchizatı məsələləri ilə məşğul olacaq.

“Report”“Dünya” qəzetinə istinadən xəbər verir ki, bu barədə Türkiyənin energetika və təbii sərvətlər naziri Alparslan Bayraktar bildirib.

“EÜAŞ şirkəti (ən böyük dövlət elektrik enerjisi istehsalı şirkəti - red.) 2025-ci ildə Suriyanın elektrik enerjisinə olan ehtiyaclarının ödənilməsi üzərində işləyəcək. EÜAŞ-ın bu sahədə böyük təcrübəsi var. Biz regionda sabitliyin əldə olunmasına çalışacağıq”, – nazir deyib.

Bayraktarın sözlərinə görə, Suriyanın elektrik təchizatında kömək edəcək ikinci şirkət TEİAŞ-dır.

“Biz TEİAŞ-ı daha da gücləndirməyə çalışırıq. Hazırda artırılmış ötürmə qabiliyyəti ilə yeni elektrik enerjisi ötürmə arxitekturasını həyata keçiririk. 2025-ci il TEİAŞ-ın inkişafı üçün mühüm il olacaq. Bu dövr üçün şirkətin mühüm vəzifəsi qonşumuz Suriyanın elektrik enerjisinə olan ehtiyaclarının ödənilməsidir. Bu kontekstdə TEİAŞ da öz beynəlxalq borcunu yerinə yetirəcək”, – o vurğulayıb.",2025-12-06 12:16:08.796 +0300
21,https://report.az/hadise/celilabad-rayonunda-evden-meyit-tapilib,2025-01-01 19:40:00.000,Cəlilabad rayonunda evdən meyit tapılıb,"Cəlilabad rayonunda evdə meyit aşkar olunub.

""Report""un Muğan bürosunun məlumatına görə, rayonunun Göytəpə şəhər sakini 1972-ci il təvəllüdlü Ağayev Aydın Hüseynağa oğlunun cansız bədəni qonşuları tərəfindən yaşadığı ünvanda tapılıb.

Məlumata görə o, evdə tək qalırmış. Onun 3 gün əvvəl öldüyü güman edilir.

Meyit müayinə olunması üçün Cəlilabad Rayon Mərkəzi Xəstəxanasının morquna təhvil verilib.

Faktla bağlı araşdırma aparılır.",2025-12-06 12:16:08.796 +0300
20,https://report.az/futbol-xeberleri/ingiltere-premyer-liqasi-arsenal-ilin-ilk-oyununda-inamli-qelebe-qazanib,2025-01-01 19:47:00.000,İngiltərə Premyer Liqası: “Arsenal” ilin ilk oyununda inamlı qələbə qazanıb,"İngiltərə Premyer Liqasının XIX turunda “Brentford” “Arsenal”ı qəbul edib.

“Report”xəbər verir ki, “Brentford Kommyuniti” stadionunda baş tutan oyunu baş hakim Piter Benks idarə edib.

Matçda hesabı ev sahibləri açıblar. 13-cü dəqiqədə kamerunlu Brian Mbömo fərqlənib. “Topçular”ın cavabı isə 29-cu dəqiqəyə təsadüf edib. Qabriel Jezus “arılar”ın qapıçısı Mark Flekkeni məyus edərək ""status-kvo""nu bərpa edib.

İkinci hissəyə Mikel Artetanın yetirmələri daha fəal başlayıb. 50-ci dəqiqədə Mikel Merino londonluların ikinci qoluna imza atıb. Qonaqların növbəti qolu da özünü çox gözlətməyib. Cəmi üç dəqiqə sonra Qabriel Martinelli komandasının üçüncü qolunu vuraraq yekun hesabı müəyyənləşdirib - 3:1.

Beləliklə, 19 turdan sonra 39 xala malik “Arsenal” ikinci pillədə qərarlaşıb. Komandanın ən yaxın təqibçiləri “Nottingem Forest” (37) və “Çelsi”dir (35).

Danimarkalı mütəxəssis Tomas Frankın yetirmələrinin isə 24 xalı var. Məğlubiyyətə baxmayaraq, “arılar” 12-ci pillədəki yerini qoruyub. “Brentford”un ən yaxın təqibçiləri isə “Vest Hem” (23) və “Mançester Yunayted”dir (22).

Turnir cədvəlinin şəriksiz lideri Arne Slotun başçılıq etdiyi “Liverpul”dur (45). Bundan başqa, Mersisayd təmsilçisininehtiyatındabir oyun var.",2025-12-06 12:16:08.796 +0300
19,https://report.az/region-xeberleri/turkiyenin-serqinde-mikroavtobuslarin-toqqusmasi-neticesinde-texminen-30-nefer-xesaret-alib,2025-01-01 20:05:00.000,Türkiyənin şərqində mikroavtobusların toqquşması nəticəsində təxminən 30 nəfər xəsarət alıb,"Türkiyənin şərqində yerləşən Qars vilayətində mikroavtobusların iştirakı ilə baş vermiş yol qəzasında azı 27 nəfər xəsarət alıb.

“Report”xəbər verir ki, bu barədə DHA bildirib.

Agentliyin məlumatına görə, qəza axşam saatlarında yol kəsişməsində baş verib. Sərnişinlərlə dolu olan bir nəqliyyat vasitəsi Sarıkamış şəhərinə, digəri isə Kağızmana gedirmiş.

Hadisə yerinə təcili yardım xidmətinin əməkdaşları gəlib. Xəsarət alanlar xəstəxanaya yerləşdirilib, onlardan birinin vəziyyəti ağırdır.",2025-12-06 12:16:08.796 +0300
18,https://report.az/daxili-siyaset/milli-qehreman-sehid-general-mayor-polad-hesimovun-dogum-gunudur5243,2025-01-01 20:45:00.000,"Milli Qəhrəman, şəhid general-mayor Polad Həşimovun doğum günüdür","Bu gün Azərbaycanın Milli Qəhrəmanı, şəhid general-mayor Polad Həşimovun doğum günüdür.

""Report""xəbər verir ki, P.Həşimovun dünyaya gəlişindən 50 il ötür.

P.Həşimov 1975-ci ilin yanvarın 2-də Qəbələ rayonunun Vəndam kəndində anadan olub, sonradan ailəsi ilə birlikdə Sumqayıt şəhərinə köçüb. Orta təhsilini Sumqayıt şəhərində əvvəlcə 28 nömrəli, sonra isə 34 nömrəli məktəbdə alıb. O, Heydər Əliyev adına Ali Hərbi Məktəbi bitirərək hərbçi olub.

General-mayor P.Həşimov 2020-ci il iyulun 14-də Tovuz istiqamətində baş verən şiddətli döyüşlər zamanı Ermənistan Silahlı Qüvvələrinin hücum cəhdinin qarşısını alarkən qəhrəmancasına şəhid olub. Onun şəhid olması xəbərini ictimaiyyətə Müdafiə nazirinin müavini, general-leytenant Kərim Vəliyev dərin hüznlə çatdırıb. İyulun 14-də general-mayor Polad Həşimovun nəşi əvvəlcə doğulduğu Qəbələ rayonunun Vəndam qəsəbəsinə, sonra isə yaşadığı Sumqayıt şəhərinə gətirilib. General iyulun 15-də II Fəxri Xiyabanda, polkovnik İlqar Mirzəyev ilə yanaşı dəfn olunub.

Prezident İlham Əliyev döyüş zamanı müdafiənin ön xəttində olarkən qəhrəmancasına şəhid olmuş general-mayor Polad Həşimovun anası ilə telefonla danışıb və şəhidin ailə üzvlərinə dərin hüznlə başsağlığı verib.

2020-ci il dekabrın 9-da Prezident İlham Əliyevin sərəncamı ilə P.Həşimova Azərbaycanın Milli Qəhrəman adı verilib.

Xatırladaq ki, P.Həşimov 2003-cü ildə mayor qismində Prezident Heydər Əliyevin sərəncamı ilə ""Hərbi xidmətlərə görə"" medalı ilə təltif edilib. 6 il sonra, 2009-cu ildə isə o, artıq polkovnik-leytenant qismində Prezident İlham Əliyevin sərəncamı ilə ""Vətən uğrunda"" medalı ilə təltif olunub. 2014-cü il iyunun 25-də III dərəcəli Vətənə xidmətə görə ordeni ilə təltif edilən Polad Həşimov, 2016-cı ilin Aprel döyüşlərində göstərdiyi şücaətə görə 2-ci dərəcəli ""Vətənə xidmətə görə"" ordeni ilə mükafatlandırılıb.

P.Həşimov 2016-cı ilin 2-4 aprelində cəbhə boyu baş verən hərbi əməliyyatlar zamanı Talış qəsəbəsi uğrunda gedən döyüşləri aparan 1-ci Ordu Korpusunun Qərargah rəisi olub və yaralanıb. 2019-cu il iyunun 25-də Polad Həşimova general-mayor ali hərbi rütbəsi verilib. O, daha sonra Azərbaycan Silahlı Qüvvələrinin 3-cü Ordu Korpusunun Qərargah rəisi təyin olunub.

2020-ci ildə Qəbələ şəhərində Şəhidlər xiyabanının yerləşdiyi küçəyə Polad Həşimovun adı verilib. Bakı şəhərinin küçələrindən biri də Azərbaycanın Milli Qəhrəmanının adını daşıyır.

P.Həşimovun adı Türkiyədə də əbədiləşdirilib. Belə ki, Osmanqazi rayonunun Dəmirtaş bölgəsində Polad Həşimovun adının verildiyi yeni park salınıb.

P.Həşimovun iki oğul və bir qız övladı yadigar qalıb.",2025-12-06 12:16:08.796 +0300
17,https://report.az/diger-olkeler/las-veqasdaki-cybertruck-partlayisi-potensial-terror-akti-kimi-tehqiq-edilecek,2025-01-01 21:19:00.000,Las-Veqasdakı “Cybertruck” partlayışı potensial terror aktı kimi təhqiq ediləcək,"Hüquq-mühafizə orqanları ABŞ-nin Las-Veqas şəhərində (Nevada ştatı) 64 mərtəbəli “Trump International Hotel”in yanında “Tesla Cybertruck” elektromobilinin partlaması halını araşdırarkən, baş vermiş hadisəni potensial terror aktı kimi təhqiq edəcəklər.

“Report”xəbər verir ki, bu barədə “ABC News” telekanalı məlumat yayıb.

Telekanala görə, müstəntiqlər partlayışın səbəbini hələ müəyyən edə bilməsələr də, maşında pirotexnikanın olduğunu təsbit ediblər.

Nəqliyyat vasitəsində bir nəfərin – sürücünün öldüyü məlumdur. Hüquq-mühafizə orqanları partlayışın onun törədib-törətmədiyini müəyyən etməyə çalışırlar.",2025-12-06 12:16:08.796 +0300
16,https://report.az/futbol-xeberleri/kiv-psj-liverpul-un-futbolcusuna-heftelik-500-min-avro-mebleginde-muqavile-teklif-edir,2025-01-01 22:29:00.000,KİV: PSJ “Liverpul”un futbolçusuna həftəlik 500 min avro məbləğində müqavilə təklif edir,"Fransanın “Pari Sen-Jermen” (PSJ) klubu İngiltərənin “Liverpul” komandasının misirli hücumçusu Məhəmməd Salaha həftəlik 500 min avro məvacib ilə üçillik müqavilə təklif edir.

“Report”xəbər verir ki, bu barədə “Eurosport”un jurnalisti Romen Kolle Qodensosial şəbəkədəyazıb.

Hücumçunun “qırmızılar”la hazırkı müqaviləsinin müddəti 2025-ci ilin yayındabaşa çatır. Mənbənin məlumatına görə, Mersisayd təmsilçisi həftəlik 400 min avro maaş ilə ikiillik yeni müqavilə təklif etməyə hazırdır.

32 yaşlı Salah 2017/2018 mövsümündən “Liverpul”un şərəfini qoruyur. O, komanda ilə İngiltərə çempionu, İngiltərə Liqa Kuboku, İngiltərə Kuboku və Superkubokunun qalibi, Çempionlar Liqasının qalibi, UEFA Superkuboku və klublararası dünya çempionatının qalibi olub. Premyer Liqanın cari mövsümündə Salah 18 oyunda 17 qol vurub və 13 məhsuldar ötürmə edib. Onun komandası turnir cədvəlinin şəriksizlideridir.",2025-12-06 12:16:08.796 +0300
15,https://report.az/diger-olkeler/nyu-orleanda-surucu-yuk-masinini-izdihamin-uzerine-surub-10-nefer-olub,2025-01-01 22:52:00.000,Nyu-Orleanda sürücünün maşınını insanların üzərinə qəsdən sürməsi nəticəsində ölənlərin sayı 15-ə çatıb,"ABŞ-nin Luiziana ştatının Nyu-Orlean şəhərində sürücünün yük maşınını izdihamın üzərinə sürməsi nəticəsində ölənlərin sayı azı 15-ə çatıb.

“Report” xəbər verir ki, bu barədə“CBS News”a rəsmi şəxslər bildirib.

“Yeni il gecəsi Nyu-Orleanın Fransız məhəlləsindəki Burbon küçəsində bir kişi pikap avtomobilini qəsdən insan izdihamının üzərinə sürüb. Rəsmilərin bildirdiyinə görə, hadisə nəticəsində azı 15 nəfər həlak olub və onlarla insan xəsarət alıb”, – telekanal qeyd edib.

Xatırladaq ki, daha əvvəl hadisəni törətməkdə şübhəli bilinən şəxsin kimliyiaçıqlanmışdı. Bundan başqa, Federal Təhqiqat Bürosu hadisəni “terror aktı kimi təhqiq edəcəyini” elan etmişdi.

17:03

ABŞ-nin Nyu-Orlean şəhərində insanların həlak olduğu ərazidə partlayıcı qurğu aşkar edilib.

“Report” xəbər verir ki, bu barədə ABŞ Federal Təhlükəsizlik Bürosunun (FTB) nümayəndəsi “Fox News”a bildirib.

Qeyd olunub ki, avtomobili insanların üzərinə sürən şəxslə atışmada iki polis əməkdaşı yaralanıb.

16:23

ABŞ-nin Nyu-Orlean şəhərində sürücünün yük maşınını izdihamın üzərinə sürməsi nəticəsində ən azı 10 nəfər həlak olub, daha 30 nəfər xəsarət alıb.

“Report”xəbər verir ki, bu barədə “ABC News” telekanalı məlumat yayıb.

Bildirilir ki, sürücü daha sonra nəqliyyat vasitəsindən düşərək silahdan atəş açmağa başlayıb, hüquq-mühafizə orqanları da cavab atəşi açıb.

""İlkin məlumatlara görə, avtomobil, çox güman ki, bir qrup insana çırpılıb. Xəsarət alanlar barədə məlumat olmasa da, ölüm hallarının olduğu bildirilir"", - yerli polis idarəsindən qeyd olunub.",2025-12-06 12:16:08.796 +0300
